,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,914,11,230,13,23,1090,1,0.13027522935779817,0.8385321100917431,0.010091743119266056,0.02110091743119266,847,0.21100917431192662,0.011926605504587157,0.7770642201834862
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,1033,31,309,47,43,1429,1,0.22533240027991602,0.7228831350594822,0.021693491952414275,0.030090972708187544,1073,0.21623512946116166,0.032890132960111965,0.7508747375787264
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,907,31,305,32,57,1467,1,0.321745057941377,0.6182685753237901,0.021131561008861623,0.03885480572597137,1130,0.20790729379686435,0.021813224267211998,0.7702794819359237
559,Baltimore City,985,Baltimore City Precinct 26-030,419,511,29,278,35,26,985,1,0.42538071065989846,0.5187817258883248,0.029441624365482234,0.026395939086294416,672,0.28223350253807106,0.03553299492385787,0.682233502538071
574,Baltimore City,502,Baltimore City Precinct 26-001,417,33,35,50,41,17,502,1,0.8306772908366534,0.06573705179282868,0.0697211155378486,0.03386454183266932,411,0.099601593625498,0.08167330677290836,0.8187250996015937
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,789,539,252,74,90,2426,1,0.4154987633965375,0.32522671063478975,0.22217642209398186,0.03709810387469085,2100,0.10387469084913438,0.030502885408079144,0.8656224237427865
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,210,361,200,152,120,2095,1,0.6701670644391408,0.10023866348448687,0.17231503579952268,0.057279236276849645,1743,0.0954653937947494,0.07255369928400955,0.831980906921241
581,Baltimore City,782,Baltimore City Precinct 26-005,514,71,133,99,59,64,782,1,0.6572890025575447,0.0907928388746803,0.170076726342711,0.08184143222506395,624,0.1265984654731458,0.07544757033248081,0.7979539641943734
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,134,293,150,84,98,1623,1,0.6765249537892791,0.08256315465187923,0.18052988293284042,0.06038200862600123,1389,0.09242144177449169,0.051756007393715345,0.8558225508317929
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,101,490,268,137,44,1434,1,0.5571827057182706,0.07043235704323571,0.3417015341701534,0.030683403068340307,1029,0.18688981868898186,0.09553695955369595,0.7175732217573222
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,136,339,115,79,37,1562,1,0.6722151088348272,0.08706786171574904,0.21702944942381563,0.023687580025608196,1368,0.0736235595390525,0.05057618437900128,0.8758002560819462
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,1277,26,362,22,44,1463,1,0.07928913192071087,0.872863978127136,0.0177717019822283,0.03007518796992481,1079,0.24743677375256323,0.015037593984962405,0.7375256322624744
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,3916,95,765,57,89,4697,1,0.12710240579093038,0.8337236533957846,0.02022567596338088,0.018948264849904195,3875,0.16286991696827763,0.01213540557802853,0.8249946774536938
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,1696,585,457,89,162,3265,1,0.2517611026033691,0.519448698315467,0.17917304747320062,0.04961715160796325,2719,0.13996937212863705,0.027258805513016845,0.8327718223583461
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,2484,65,374,22,37,2660,1,0.027819548872180452,0.9338345864661655,0.02443609022556391,0.013909774436090226,2264,0.1406015037593985,0.008270676691729323,0.8511278195488722
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,1064,7,238,8,9,1089,1,0.008264462809917356,0.9770431588613406,0.006427915518824609,0.008264462809917356,843,0.21854912764003673,0.0073461891643709825,0.7741046831955923
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,1486,25,279,10,38,1595,1,0.02884012539184953,0.9316614420062695,0.01567398119122257,0.023824451410658306,1306,0.17492163009404388,0.006269592476489028,0.8188087774294671
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,746,104,480,251,135,3555,1,0.7229254571026723,0.20984528832630098,0.029254571026722926,0.0379746835443038,2824,0.1350210970464135,0.07060478199718706,0.7943741209563995
811,Baltimore City,929,Baltimore City Precinct 20-009,527,341,34,114,38,27,929,1,0.5672766415500539,0.36706135629709363,0.03659849300322928,0.02906350914962325,777,0.12271259418729817,0.04090419806243272,0.8363832077502691
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,1001,8,224,14,12,1049,1,0.02669208770257388,0.9542421353670162,0.0076263107721639654,0.011439466158245948,811,0.21353670162059105,0.01334604385128694,0.773117254528122
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,472,145,309,280,177,3568,1,0.7774663677130045,0.13228699551569506,0.0406390134529148,0.04960762331838565,2979,0.08660313901345291,0.07847533632286996,0.8349215246636771
814,Baltimore City,756,Baltimore City Precinct 20-010,333,353,45,47,12,25,756,1,0.44047619047619047,0.4669312169312169,0.05952380952380952,0.03306878306878307,697,0.062169312169312166,0.015873015873015872,0.921957671957672
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,2229,6,243,12,33,2322,1,0.023255813953488372,0.9599483204134367,0.002583979328165375,0.014211886304909561,2067,0.10465116279069768,0.00516795865633075,0.8901808785529716
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,1287,65,189,51,103,2303,1,0.36821537125488496,0.5588363004776379,0.02822405557967868,0.04472427268779852,2063,0.08206686930091185,0.02214502822405558,0.8957881024750326
817,Baltimore City,950,Baltimore City Precinct 20-002,70,853,7,117,8,20,950,1,0.07368421052631578,0.8978947368421053,0.007368421052631579,0.021052631578947368,825,0.1231578947368421,0.008421052631578947,0.868421052631579
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,1711,4,312,20,31,1760,1,0.007954545454545454,0.9721590909090909,0.0022727272727272726,0.017613636363636363,1428,0.17727272727272728,0.011363636363636364,0.8113636363636364
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,1891,15,432,23,34,1950,1,0.005128205128205128,0.9697435897435898,0.007692307692307693,0.017435897435897435,1495,0.22153846153846155,0.011794871794871795,0.7666666666666667
820,Baltimore City,240,Baltimore City Precinct 20-004,4,226,3,66,3,7,240,1,0.016666666666666666,0.9416666666666667,0.0125,0.029166666666666667,171,0.275,0.0125,0.7125
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,1426,21,199,9,24,1495,1,0.016053511705685617,0.9538461538461539,0.014046822742474917,0.016053511705685617,1287,0.1331103678929766,0.006020066889632107,0.8608695652173913
822,Baltimore City,901,Baltimore City Precinct 26-031,516,339,13,181,64,33,901,1,0.5726970033296337,0.3762486126526082,0.014428412874583796,0.03662597114317425,656,0.2008879023307436,0.07103218645948946,0.7280799112097669
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,1388,38,668,156,101,2719,1,0.4383964692901802,0.5104817947774917,0.013975726369988967,0.03714600956233909,1895,0.24567855829349025,0.05737403457153365,0.696947407134976
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,820,103,679,319,59,2670,1,0.6322097378277154,0.30711610486891383,0.03857677902621723,0.022097378277153558,1672,0.2543071161048689,0.1194756554307116,0.6262172284644195
828,Baltimore City,842,Baltimore City Precinct 27-010,645,155,22,205,117,20,842,1,0.7660332541567696,0.1840855106888361,0.026128266033254157,0.023752969121140142,520,0.24346793349168647,0.13895486935866982,0.6175771971496437
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,754,59,271,14,95,1038,1,0.1252408477842004,0.7263969171483622,0.05684007707129094,0.09152215799614644,753,0.2610789980732177,0.01348747591522158,0.7254335260115607
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,497,82,576,48,151,1718,1,0.5750873108265425,0.2892898719441211,0.047729918509895226,0.08789289871944121,1094,0.3352735739231665,0.027939464493597205,0.6367869615832363
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,1370,76,398,21,88,1916,1,0.19937369519832984,0.7150313152400835,0.03966597077244259,0.04592901878914405,1497,0.20772442588726514,0.010960334029227558,0.7813152400835073
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,181,220,108,71,66,1139,1,0.5899912203687445,0.15891132572431957,0.19315188762071994,0.05794556628621598,960,0.09482001755926252,0.06233538191395961,0.8428446005267779
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,588,307,208,102,99,2273,1,0.5626924769027717,0.258688957325121,0.1350637923449186,0.04355477342718874,1963,0.09150901891772988,0.04487461504619446,0.8636163660360757
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,905,52,197,39,58,1483,1,0.3155765340525961,0.6102494942683749,0.03506405933917734,0.03910991233985165,1247,0.13283884018880648,0.026298044504383007,0.8408631153068106
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,334,135,103,54,43,1262,1,0.5942947702060222,0.26465927099841524,0.10697305863708399,0.03407290015847861,1105,0.08161648177496038,0.042789223454833596,0.875594294770206
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,744,110,182,44,73,1628,1,0.4305896805896806,0.457002457002457,0.06756756756756757,0.04484029484029484,1402,0.11179361179361179,0.02702702702702703,0.8611793611793612
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,525,115,226,106,159,2415,1,0.6691511387163561,0.21739130434782608,0.047619047619047616,0.06583850931677018,2083,0.09358178053830228,0.04389233954451346,0.8625258799171842
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,43,68,768,353,114,2673,1,0.9158249158249159,0.016086793864571642,0.02543958099513655,0.04264870931537598,1552,0.287317620650954,0.13206135428357652,0.5806210250654695
889,Baltimore City,878,Baltimore City Precinct 24-002,775,30,29,272,127,44,878,1,0.8826879271070615,0.03416856492027335,0.03302961275626424,0.05011389521640091,479,0.3097949886104784,0.14464692482915717,0.5455580865603644
890,Baltimore City,722,Baltimore City Precinct 24-001,632,41,18,226,108,31,722,1,0.8753462603878116,0.05678670360110803,0.024930747922437674,0.04293628808864266,388,0.31301939058171746,0.14958448753462603,0.5373961218836565
891,Baltimore City,1728,Baltimore City Precinct 24-003,1531,46,43,541,258,108,1728,1,0.8859953703703703,0.02662037037037037,0.02488425925925926,0.0625,929,0.3130787037037037,0.14930555555555555,0.5376157407407407
892,Baltimore City,1994,Baltimore City Precinct 03-003,1421,223,166,429,185,184,1994,1,0.7126379137412236,0.11183550651955868,0.08324974924774323,0.09227683049147442,1380,0.21514543630892677,0.09277833500501505,0.6920762286860582
893,Baltimore City,3017,Baltimore City Precinct 24-005,2786,60,58,1112,621,113,3017,1,0.9234338747099768,0.019887305270135897,0.0192243950944647,0.03745442492542261,1284,0.3685780576731853,0.20583360954590654,0.4255883327809082
894,Baltimore City,2635,Baltimore City Precinct 02-003,2167,106,164,689,227,198,2635,1,0.8223908918406072,0.040227703984819736,0.06223908918406072,0.07514231499051234,1719,0.26148007590132827,0.08614800759013283,0.6523719165085389
895,Baltimore City,2074,Baltimore City Precinct 02-002,1402,157,396,505,127,119,2074,1,0.6759884281581485,0.07569913211186113,0.1909353905496625,0.05737704918032787,1442,0.24349083895853424,0.06123432979749277,0.695274831243973
896,Baltimore City,2117,Baltimore City Precinct 01-002,1706,102,203,598,133,106,2117,1,0.8058573452999528,0.048181388757675955,0.0958904109589041,0.050070854983467174,1386,0.28247520075578647,0.06282475200755787,0.6547000472366556
897,Baltimore City,1947,Baltimore City Precinct 01-003,1710,56,93,436,188,88,1947,1,0.8782742681047766,0.028762198253723677,0.04776579352850539,0.04519774011299435,1323,0.2239342578325629,0.09655880842321521,0.6795069337442219
898,Baltimore City,2617,Baltimore City Precinct 05-001,202,2276,86,250,15,53,2617,1,0.07718761941153993,0.8696981276270539,0.032862055789071455,0.020252197172334733,2352,0.09552923194497516,0.00573175391669851,0.8987390141383264
899,Baltimore City,658,Baltimore City Precinct 10-004,17,620,13,146,6,8,658,1,0.025835866261398176,0.9422492401215805,0.019756838905775075,0.0121580547112462,506,0.22188449848024316,0.00911854103343465,0.7689969604863222
900,Baltimore City,5665,Baltimore City Precinct 10-003,789,4761,71,82,5,44,5665,1,0.13927625772285968,0.840423654015887,0.012533097969991174,0.007766990291262136,5578,0.014474845542806708,0.00088261253309797,0.9846425419240953
901,Baltimore City,836,Baltimore City Precinct 03-002,231,487,43,135,18,75,836,1,0.27631578947368424,0.5825358851674641,0.05143540669856459,0.08971291866028708,683,0.16148325358851676,0.0215311004784689,0.8169856459330144
913,Baltimore City,2765,Baltimore City Precinct 07-004,124,2450,119,376,23,72,2765,1,0.04484629294755877,0.8860759493670886,0.043037974683544304,0.026039783001808318,2366,0.1359855334538879,0.008318264014466547,0.8556962025316456
914,Baltimore City,3497,Baltimore City Precinct 26-010,1389,683,1290,431,144,135,3497,1,0.3971975979410924,0.1953102659422362,0.3688876179582499,0.0386045181584215,2922,0.12324849871318273,0.04117815270231627,0.835573348584501
915,Baltimore City,923,Baltimore City Precinct 26-012,85,564,203,113,9,71,923,1,0.09209100758396534,0.6110509209100758,0.2199349945828819,0.07692307692307693,801,0.12242686890574214,0.009750812567713976,0.8678223185265439
916,Baltimore City,3245,Baltimore City Precinct 08-010,18,3159,33,699,40,35,3245,1,0.005546995377503852,0.973497688751926,0.010169491525423728,0.01078582434514638,2506,0.21540832049306627,0.012326656394453005,0.7722650231124807
917,Baltimore City,577,Baltimore City Precinct 08-011,13,548,4,142,5,12,577,1,0.022530329289428077,0.949740034662045,0.006932409012131715,0.02079722703639515,430,0.24610051993067592,0.008665511265164644,0.7452339688041595
918,Baltimore City,1998,Baltimore City Precinct 08-003,70,1883,18,365,28,27,1998,1,0.035035035035035036,0.9424424424424425,0.009009009009009009,0.013513513513513514,1605,0.18268268268268267,0.014014014014014014,0.8033033033033034
919,Baltimore City,1675,Baltimore City Precinct 26-019,143,1472,16,442,18,44,1675,1,0.0853731343283582,0.8788059701492538,0.00955223880597015,0.02626865671641791,1215,0.2638805970149254,0.010746268656716417,0.7253731343283583
920,Baltimore City,783,Baltimore City Precinct 26-020,50,719,7,193,10,7,783,1,0.06385696040868455,0.9182630906768838,0.008939974457215836,0.008939974457215836,580,0.24648786717752236,0.01277139208173691,0.7407407407407407
921,Baltimore City,1709,Baltimore City Precinct 26-011,785,268,560,123,58,96,1709,1,0.4593329432416618,0.15681685196021064,0.32767700409596257,0.056173200702165006,1528,0.07197191339964892,0.03393797542422469,0.8940901111761264
922,Baltimore City,1355,Baltimore City Precinct 26-013,1074,54,195,128,123,32,1355,1,0.792619926199262,0.03985239852398524,0.14391143911439114,0.023616236162361623,1104,0.09446494464944649,0.0907749077490775,0.814760147601476
923,Baltimore City,339,Baltimore City Precinct 26-017,33,280,10,157,10,16,339,1,0.09734513274336283,0.8259587020648967,0.029498525073746312,0.0471976401179941,172,0.4631268436578171,0.029498525073746312,0.5073746312684366
924,Baltimore City,2928,Baltimore City Precinct 26-018,256,2613,25,745,26,34,2928,1,0.08743169398907104,0.8924180327868853,0.00853825136612022,0.011612021857923498,2157,0.25443989071038253,0.008879781420765027,0.7366803278688525
925,Baltimore City,1249,Baltimore City Precinct 26-016,74,1115,6,321,15,54,1249,1,0.059247397918334666,0.8927141713370697,0.004803843074459567,0.04323458767013611,913,0.2570056044835869,0.01200960768614892,0.7309847878302642
982,Baltimore City,2683,Baltimore City Precinct 26-024,242,2170,23,466,16,248,2683,1,0.09019754006708908,0.8087961237420798,0.008572493477450614,0.09243384271338054,2201,0.17368617219530377,0.005963473723443906,0.8203503540812523
983,Baltimore City,2299,Baltimore City Precinct 26-025,146,1992,28,333,21,133,2299,1,0.06350587211831231,0.8664636798608091,0.012179208351457155,0.05785123966942149,1945,0.1448455850369726,0.009134406263592866,0.8460200086994345
984,Baltimore City,1812,Baltimore City Precinct 26-026,482,1240,48,410,56,42,1812,1,0.26600441501103755,0.6843267108167771,0.026490066225165563,0.023178807947019868,1346,0.22626931567328917,0.03090507726269316,0.7428256070640177
985,Baltimore City,2585,Baltimore City Precinct 27-005,1273,1168,45,708,137,99,2585,1,0.49245647969052225,0.4518375241779497,0.017408123791102514,0.03829787234042553,1740,0.27388781431334625,0.05299806576402321,0.6731141199226306
986,Baltimore City,3355,Baltimore City Precinct 27-006,959,2259,52,794,92,85,3355,1,0.28584202682563337,0.6733233979135619,0.015499254843517139,0.02533532041728763,2469,0.23666169895678094,0.027421758569299553,0.7359165424739196
987,Baltimore City,780,Baltimore City Precinct 27-019,33,725,17,176,8,5,780,1,0.04230769230769231,0.9294871794871795,0.021794871794871794,0.00641025641025641,596,0.22564102564102564,0.010256410256410256,0.764102564102564
988,Baltimore City,2289,Baltimore City Precinct 27-015,400,1768,63,565,52,58,2289,1,0.17474879860200962,0.7723896898208825,0.027522935779816515,0.025338575797291395,1672,0.24683267802533856,0.022717343818261248,0.7304499781564002
992,Baltimore City,2647,Baltimore City Precinct 27-014,1453,1028,61,730,225,105,2647,1,0.5489233094068757,0.38836418587079713,0.0230449565545901,0.039667548167737064,1692,0.2757839063090291,0.08500188893086513,0.6392142047601058
993,Baltimore City,3409,Baltimore City Precinct 27-013,915,2303,118,668,127,73,3409,1,0.26840715752420063,0.675564681724846,0.034614256380170134,0.02141390437078322,2614,0.19595189205045468,0.03725432678204752,0.7667937811674977
994,Baltimore City,1492,Baltimore City Precinct 27-009,843,537,50,468,127,62,1492,1,0.5650134048257373,0.3599195710455764,0.03351206434316354,0.04155495978552279,897,0.3136729222520107,0.08512064343163539,0.6012064343163539
995,Baltimore City,762,Baltimore City Precinct 27-012,550,153,42,159,88,17,762,1,0.7217847769028871,0.20078740157480315,0.05511811023622047,0.02230971128608924,515,0.20866141732283464,0.11548556430446194,0.6758530183727034
1014,Baltimore City,751,Baltimore City Precinct 27-037,547,155,22,186,72,27,751,1,0.7283621837549934,0.20639147802929428,0.02929427430093209,0.03595206391478029,493,0.24766977363515313,0.09587217043941411,0.6564580559254327
1015,Baltimore City,1727,Baltimore City Precinct 27-038,993,567,49,371,56,118,1727,1,0.57498552403011,0.328314997104806,0.028372900984365953,0.06832657788071801,1300,0.21482339316734222,0.03242617255356109,0.7527504342790967
1016,Baltimore City,1669,Baltimore City Precinct 27-042,1261,164,22,586,194,222,1669,1,0.7555422408627921,0.09826243259436789,0.013181545835829839,0.1330137807070102,889,0.35110844817255843,0.11623726782504494,0.5326542840023967
1017,Baltimore City,1155,Baltimore City Precinct 27-044,1034,31,36,539,116,54,1155,1,0.8952380952380953,0.02683982683982684,0.03116883116883117,0.046753246753246755,500,0.4666666666666667,0.10043290043290043,0.4329004329004329
1018,Baltimore City,1487,Baltimore City Precinct 27-040,1289,83,36,543,212,79,1487,1,0.8668459986550101,0.05581708137188971,0.0242098184263618,0.0531271015467384,732,0.36516476126429054,0.1425689307330195,0.49226630800269
1019,Baltimore City,742,Baltimore City Precinct 27-039,645,57,14,328,105,26,742,1,0.8692722371967655,0.07681940700808626,0.018867924528301886,0.03504043126684636,309,0.4420485175202156,0.14150943396226415,0.4164420485175202
1020,Baltimore City,1929,Baltimore City Precinct 27-041,1446,340,44,624,190,99,1929,1,0.749611197511664,0.1762571280456195,0.02280974598237429,0.05132192846034215,1115,0.3234836702954899,0.09849663037843442,0.5780196993260757
1036,Baltimore City,1338,Baltimore City Precinct 09-010,254,994,50,338,16,40,1338,1,0.1898355754857997,0.7428998505231689,0.03736920777279522,0.029895366218236172,984,0.2526158445440957,0.01195814648729447,0.7354260089686099
1037,Baltimore City,1402,Baltimore City Precinct 09-003,246,1073,32,416,24,51,1402,1,0.1754636233951498,0.7653352353780314,0.02282453637660485,0.03637660485021398,962,0.2967189728958631,0.017118402282453638,0.6861626248216833
1038,Baltimore City,1166,Baltimore City Precinct 09-002,133,974,16,248,21,43,1166,1,0.11406518010291596,0.8353344768439108,0.0137221269296741,0.03687821612349914,897,0.21269296740994853,0.018010291595197257,0.7692967409948542
1039,Baltimore City,1002,Baltimore City Precinct 09-009,76,873,15,219,17,38,1002,1,0.07584830339321358,0.8712574850299402,0.014970059880239521,0.03792415169660679,766,0.218562874251497,0.016966067864271458,0.7644710578842315
1040,Baltimore City,1958,Baltimore City Precinct 09-004,484,1353,25,625,48,96,1958,1,0.24719101123595505,0.6910112359550562,0.012768130745658836,0.049029622063329927,1285,0.3192032686414709,0.024514811031664963,0.6562819203268642
1041,Baltimore City,1717,Baltimore City Precinct 09-005,367,1273,27,427,37,50,1717,1,0.21374490390215492,0.7414094350611532,0.0157251019219569,0.029120559114735003,1253,0.24868957483983692,0.021549213744903904,0.7297612114152592
1042,Baltimore City,782,Baltimore City Precinct 09-001,41,721,9,147,7,11,782,1,0.052429667519181586,0.921994884910486,0.011508951406649617,0.014066496163682864,628,0.18797953964194372,0.008951406649616368,0.80306905370844
1043,Baltimore City,970,Baltimore City Precinct 27-036,32,895,18,211,12,25,970,1,0.032989690721649485,0.9226804123711341,0.018556701030927835,0.02577319587628866,747,0.2175257731958763,0.012371134020618556,0.7701030927835052
1044,Baltimore City,3261,Baltimore City Precinct 27-035,98,3076,27,476,26,60,3261,1,0.03005213124808341,0.9432689359092303,0.00827966881324747,0.01839926402943882,2759,0.145967494633548,0.007973014412756822,0.8460594909536951
